"","Team","Week","Actual","Projected","Difference"
"1","Team 1","1",103.8,121.6,-17.8
"2","Team 1","2",136.1,119,17.1
"3","Team 1","3",163.82,127.4,36.42
"4","Team 1","4",134.88,131.8,3.07999999999998
"5","Team 1","5",142.06,126.2,15.86
"6","Team 1","6",123,117.7,5.3
"7","Team 1","7",127.72,129,-1.28
"8","Team 1","8",97.24,127.5,-30.26
"9","Team 1","9",87.9,116.1,-28.2
"10","Team 1","10",125.6,123.5,2.09999999999999
"11","Team 1","11",119.34,120.5,-1.16
"12","Team 1","12",101.34,118.8,-17.46
"13","Team 1","13",144.7,114.4,30.3
"14","Team 1","14",149.4,120.7,28.7
"15","Team 10","1",149.96,121.2,28.76
"16","Team 10","2",280.58,252,28.58
"17","Team 10","3",162.4,123.5,38.9
"18","Team 10","4",103.3,123.4,-20.1
"19","Team 10","5",115.28,122.6,-7.31999999999999
"20","Team 10","6",124.98,125.6,-0.61999999999999
"21","Team 10","7",145.96,131.2,14.76
"22","Team 10","8",219.68,250,-30.32
"23","Team 10","9",81.3,122.8,-41.5
"24","Team 10","10",94.02,128.1,-34.08
"25","Team 10","11",146.68,126,20.68
"26","Team 10","12",156.1,128.3,27.8
"27","Team 10","13",78.72,136.1,-57.38
"28","Team 10","14",123.14,134.8,-11.66
"29","Team 2","1",130.1,127.1,2.99999999999999
"30","Team 2","3",107.28,115,-7.72
"31","Team 2","4",104.62,121.2,-16.58
"32","Team 2","5",119.22,110.2,9.02
"33","Team 2","6",86.78,129.6,-42.82
"34","Team 2","7",112.08,128.1,-16.02
"35","Team 2","8",129.86,124.6,5.25999999999998
"36","Team 2","9",178.9,138.7,40.2
"37","Team 2","10",100.86,119.4,-18.54
"38","Team 2","11",148.3,126.9,21.4
"39","Team 2","12",112.48,132.6,-20.12
"40","Team 2","13",156,127.2,28.8
"41","Team 2","14",128.32,133,-4.68000000000001
"42","Team 3","1",169.34,131.2,38.14
"43","Team 3","2",100.5,130.8,-30.3
"44","Team 3","3",104.88,122.3,-17.42
"45","Team 3","4",160.68,131.3,29.38
"46","Team 3","5",141.84,133.6,8.24000000000001
"47","Team 3","6",92.34,125.4,-33.06
"48","Team 3","7",104.6,128.3,-23.7
"49","Team 3","8",165.72,129.8,35.92
"50","Team 3","9",159.52,137.3,22.22
"51","Team 3","10",91.94,134.3,-42.36
"52","Team 3","11",125.48,140.3,-14.82
"53","Team 3","12",120.98,130.5,-9.52
"54","Team 3","13",151.4,130.8,20.6
"55","Team 3","14",99.68,138.9,-39.22
"56","Team 4","1",104.54,126.9,-22.36
"57","Team 4","2",107.68,123.7,-16.02
"58","Team 4","3",127.2,110.5,16.7
"59","Team 4","4",94.34,121.5,-27.16
"60","Team 4","5",121.9,122.8,-0.899999999999991
"61","Team 4","6",106.3,112,-5.69999999999999
"62","Team 4","7",77.5,118.4,-40.9
"63","Team 4","8",134.54,122.4,12.14
"64","Team 4","9",112.18,108.7,3.48
"65","Team 4","10",104.08,110.6,-6.52000000000001
"66","Team 4","11",161.62,119.9,41.72
"67","Team 4","12",156.18,121.8,34.38
"68","Team 4","13",97.32,128.2,-30.88
"69","Team 4","14",112.42,121.7,-9.28
"70","Team 5","1",154.92,118.7,36.22
"71","Team 5","2",161.1,116.5,44.6
"72","Team 5","3",141.26,128.2,13.06
"73","Team 5","4",91.4,127.7,-36.3
"74","Team 5","5",153.36,134.3,19.06
"75","Team 5","6",118.8,129.7,-10.9
"76","Team 5","7",151.26,131.5,19.76
"77","Team 5","8",98.44,109.2,-10.76
"78","Team 5","9",112.54,130.6,-18.06
"79","Team 5","10",130.02,124.5,5.52000000000001
"80","Team 5","11",123.56,127.1,-3.53999999999999
"81","Team 5","12",152.62,137.6,15.02
"82","Team 5","13",136.74,129.3,7.44
"83","Team 5","14",171.56,133.8,37.76
"84","Team 6","1",120.36,129.3,-8.94000000000001
"85","Team 6","2",122.38,121.1,1.28
"86","Team 6","3",127.38,103.3,24.08
"87","Team 6","4",134.9,112.9,22
"88","Team 6","5",114.62,117,-2.38
"89","Team 6","6",148.94,125.4,23.54
"90","Team 6","8",93.36,125.2,-31.84
"91","Team 6","9",85.16,126.2,-41.04
"92","Team 6","10",98.64,115.5,-16.86
"93","Team 6","11",107.62,117.2,-9.58
"94","Team 6","12",142.5,115.9,26.6
"95","Team 6","13",114.98,118.8,-3.81999999999999
"96","Team 6","14",79.34,119.1,-39.76
"97","Team 7","1",96.2,124,-27.8
"98","Team 7","2",159.92,121.6,38.32
"99","Team 7","3",113.72,119,-5.28
"100","Team 7","4",148.8,126.3,22.5
"101","Team 7","5",114.94,128.7,-13.76
"102","Team 7","6",84.64,122.2,-37.56
"103","Team 7","7",154.62,115.1,39.52
"104","Team 7","8",92.64,129.2,-36.56
"105","Team 7","9",91.26,124.4,-33.14
"106","Team 7","10",73.68,115.3,-41.62
"107","Team 7","11",109.74,137.3,-27.56
"108","Team 7","12",64.3,108.7,-44.4
"109","Team 7","13",117.92,113.7,4.22
"110","Team 7","14",117.06,116.2,0.859999999999999
"111","Team 8","1",121.88,115,6.88
"112","Team 8","2",105.96,118.1,-12.14
"113","Team 8","3",111.6,121.3,-9.7
"114","Team 8","4",111.14,123.1,-11.96
"115","Team 8","5",117.82,123.1,-5.27999999999999
"116","Team 8","6",96.32,121.5,-25.18
"117","Team 8","7",271.66,242.8,28.86
"118","Team 8","9",117.7,113.9,3.8
"119","Team 8","10",144.64,108.9,35.74
"120","Team 8","11",89.22,118.5,-29.28
"121","Team 8","12",119.3,116.4,2.90000000000001
"122","Team 8","13",81.68,109.1,-27.42
"123","Team 8","14",142.76,104.7,38.06
"124","Team 9","1",123.9,107.6,16.3
"125","Team 9","2",152.04,116.3,35.74
"126","Team 9","3",151.6,121.8,29.8
"127","Team 9","4",125.62,126.4,-0.779999999999987
"128","Team 9","5",131.1,116.8,14.3
"129","Team 9","6",109.22,122,-12.78
"130","Team 9","7",139.3,121.8,17.5
"131","Team 9","8",108.22,103.5,4.72
"132","Team 9","9",130.12,111.8,18.32
"133","Team 9","10",102.7,130.1,-27.4
"134","Team 9","11",134.68,130.4,4.28
"135","Team 9","12",132.1,131.2,0.899999999999977
"136","Team 9","13",118.26,125.3,-7.03999999999999
"137","Team 9","14",137.92,121.4,16.52
